2,0.00000
4,1.93403
2,11.4792
4,12.4453
6,13.2917
4,15.48189
6,16.02247
2,17.58557
4,19.72737
2,19.58896
4,22.34810
6,22.60331
6,22.9363
8,22.9750
2,27.70772
4,28.83693
4,29.77357
6,29.81438
2,32.37685
6,32.55154
2,32.84230
4,33.51364
4,33.07133
8,33.13341
6,33.92381
4,34.12889
2,34.21877
6,35.25689
8,35.36455
4,35.45664
6,35.50139
2,35.59188
6,36.20817
8,37.22513
4,38.11713
2,38.96326
8,39.08461
6,39.26064
4,40.08944
2,40.16027
6,40.17646
4,40.45319
8,41.07101
6,41.13771
4,41.962
6,42.126
2,43.673
2,46.392
4,46.56
10,46.7337
8,46.7337
4,50.10
6,50.205
2,51.294
2,52.479
4,52.598
8,52.8403
10,52.8403
10,53.0108
12,53.0108
4,54.896
6,54.944
12,56.6430
10,56.6430
14,56.6935
12,56.6935
10,58.9963
12,58.9963
12,59.0403
14,59.0403
16,59.0605
14,59.0605
