50,4.202E+01,3.738E+00,9.839E-01,1.000E+00
100,8.336E+01,4.423E+00,9.922E-01,1.001E+00
150,1.247E+02,4.826E+00,9.950E-01,1.001E+00
200,1.661E+02,5.113E+00,9.965E-01,1.001E+00
298.15,2.474E+02,5.511E+00,9.992E-01,1.011E+00
300,2.489E+02,5.517E+00,9.992E-01,1.012E+00
400,3.321E+02,5.805E+00,1.007E+00,1.057E+00
500,4.165E+02,6.032E+00,1.025E+00,1.138E+00
600,5.032E+02,6.221E+00,1.052E+00,1.238E+00
700,5.933E+02,6.386E+00,1.086E+00,1.339E+00
800,6.875E+02,6.533E+00,1.123E+00,1.432E+00
900,7.865E+02,6.668E+00,1.162E+00,1.514E+00
1000,8.908E+02,6.792E+00,1.201E+00,1.584E+00
2000,2.264E+03,7.725E+00,1.495E+00,1.916E+00
3000,4.291E+03,8.364E+00,1.656E+00,2.027E+00
4000,7.013E+03,8.856E+00,1.758E+00,2.102E+00
5000,1.047E+04,9.257E+00,1.836E+00,2.204E+00
6000,1.473E+04,9.598E+00,1.911E+00,2.379E+00
7000,1.990E+04,9.899E+00,1.995E+00,2.633E+00
8000,2.614E+04,1.017E+01,2.093E+00,2.916E+00
9000,3.365E+04,1.042E+01,2.198E+00,3.159E+00
10000,4.265E+04,1.066E+01,2.303E+00,3.307E+00
11000,5.336E+04,1.088E+01,2.396E+00,3.340E+00
12000,6.595E+04,1.110E+01,2.473E+00,3.268E+00
13000,8.058E+04,1.130E+01,2.528E+00,3.117E+00
14000,9.732E+04,1.149E+01,2.564E+00,2.917E+00
15000,1.162E+05,1.166E+01,2.580E+00,2.694E+00
16000,1.373E+05,1.183E+01,2.580E+00,2.466E+00
17000,1.605E+05,1.199E+01,2.566E+00,2.245E+00
18000,1.857E+05,1.213E+01,2.543E+00,2.038E+00
19000,2.129E+05,1.227E+01,2.511E+00,1.849E+00
20000,2.420E+05,1.240E+01,2.474E+00,1.677E+00
21000,2.727E+05,1.252E+01,2.432E+00,1.524E+00
22000,3.051E+05,1.263E+01,2.388E+00,1.387E+00
23000,3.389E+05,1.273E+01,2.341E+00,1.265E+00
24000,3.740E+05,1.283E+01,2.294E+00,1.156E+00
25000,4.104E+05,1.292E+01,2.247E+00,1.060E+00
26000,4.477E+05,1.301E+01,2.199E+00,9.742E-01
27000,4.861E+05,1.309E+01,2.153E+00,8.976E-01
28000,5.252E+05,1.317E+01,2.106E+00,8.292E-01
29000,5.651E+05,1.321E+01,2.061E+00,7.678E-01
30000,6.055E+05,1.331E+01,2.017E+00,7.127E-01
32000,6.878E+05,1.344E+01,1.933E+00,6.183E-01
34000,7.715E+05,1.356E+01,1.853E+00,5.409E-01
36000,8.558E+05,1.366E+01,1.778E+00,4.769E-01
38000,9.404E+05,1.375E+01,1.708E+00,4.234E-01
40000,1.025E+06,1.384E+01,1.643E+00,3.782E-01
42000,1.109E+06,1.392E+01,1.582E+00,3.398E-01
44000,1.192E+06,1.399E+01,1.525E+00,3.070E-01
46000,1.274E+06,1.406E+01,1.471E+00,2.786E-01
48000,1.355E+06,1.412E+01,1.421E+00,2.539E-01
50000,1.434E+06,1.418E+01,1.374E+00,2.324E-01
